x1 x2 1 y1 w_1 w_2 b 
1 1 1 0 1.0 1.0 1.0 
1 0 1 1 0.0 1.0 0.0 
0 1 1 1 0.0 0.0 -1.0 
0 0 1 -1 0.0 0.0 -1.0 
1 1 1 -1 1.0 1.0 0.0 
1 0 1 1 0.0 1.0 -1.0 
0 1 1 0 0.0 0.0 -2.0 
0 0 1 -1 0.0 0.0 -2.0 
1 1 1 -1 1.0 1.0 -1.0 
1 0 1 0 0.0 1.0 -2.0 
0 1 1 -1 0.0 1.0 -2.0 
0 0 1 -1 0.0 1.0 -2.0 
1 1 1 -1 1.0 2.0 -1.0 
1 0 1 0 0.0 2.0 -2.0 
0 1 1 0 0.0 1.0 -3.0 
0 0 1 -1 0.0 1.0 -3.0 
1 1 1 -1 1.0 2.0 -2.0 
1 0 1 -1 1.0 2.0 -2.0 
0 1 1 0 1.0 1.0 -3.0 
0 0 1 -1 1.0 1.0 -3.0 
1 1 1 -1 2.0 2.0 -2.0 
1 0 1 0 1.0 2.0 -3.0 
0 1 1 -1 1.0 2.0 -3.0 
0 0 1 -1 1.0 2.0 -3.0 
1 1 1 0 2.0 3.0 -2.0 
1 0 1 0 1.0 3.0 -3.0 
0 1 1 0 1.0 2.0 -4.0 
0 0 1 -1 1.0 2.0 -4.0 
1 1 1 -1 2.0 3.0 -3.0 
1 0 1 -1 2.0 3.0 -3.0 
0 1 1 0 2.0 2.0 -4.0 
0 0 1 -1 2.0 2.0 -4.0 
1 1 1 0 3.0 3.0 -3.0 
1 0 1 0 2.0 3.0 -4.0 
0 1 1 -1 2.0 3.0 -4.0 
0 0 1 -1 2.0 3.0 -4.0 
1 1 1 1 2.0 3.0 -4.0 
1 0 1 -1 2.0 3.0 -4.0 
0 1 1 -1 2.0 3.0 -4.0 
0 0 1 -1 2.0 3.0 -4.0 
